262915	9222	4
262915	13056	1
262915	50210	1
262915	8468	1
262915	7146	1
262915	69250	5
262915	10889	17
262915	7464	1
262915	5395	1
262915	47840	10
262915	6956	1
262915	7839	1
262915	22298	1
262915	75274	1
262915	5593	1
262915	6735	6
262915	7393	2
262915	6404	1
262915	7152	1
262915	62320	2
262915	6904	1
262915	13377	2
262915	35454	2
262915	112459	1
262915	86049	1
262915	20682	1
262915	33749	1
262915	111998	1
262915	28262	1
262915	6713	1
262915	7182	1
262915	149990	1
262915	65439	1
78404	34880	1
78404	14683	12
78404	95585	6
78404	98900	2
78404	121805	10
78404	6110	1
78404	66158	1
78404	47089	4
78404	5644	1
78404	14264	1
78404	43186	1
78404	13698	1
78404	49617	1
78404	7577	2
78404	22312	1
78404	86583	1
78404	30334	1
78404	77474	1
78404	105362	1
78404	6308	3
78404	30654	2
78404	25445	1
78404	15063	5
78404	51142	6
78404	42291	1
78404	26494	2
78404	80176	1
78404	68751	7
78404	57945	1
78404	70878	1
78404	79902	4
78404	8736	3
78404	10852	1
78404	6732	3
78404	28786	1
78404	65127	3
78404	42679	1
78404	53742	1
78404	6165	1
78404	7241	1
78404	78922	1
78404	133136	1
78404	100693	1
78404	106173	1
78404	11877	1
78404	97027	1
78404	6593	1
78404	11690	1
78404	48117	1
78404	44972	1
78404	102253	1
78404	33727	1
78404	9569	2
209258	49695	1
209258	31694	12
209258	122878	1
209258	107298	1
209258	126826	4
209258	74820	1
209258	109219	1
209258	45919	1
209258	71249	1
209258	137397	1
209258	9308	1
141638	52429	1
141638	11414	1
141638	7800	1
141638	6217	1
141638	8688	1
141638	6942	1
141638	11844	1
141638	4778	1
141638	107219	1
141638	138660	1
141638	106942	2
141638	91428	1
141638	8302	1
141638	96205	2
141638	32441	1
141638	110768	1
141638	47170	1
141638	93214	1
141638	138988	1
141638	127768	3
141638	9053	1
141638	23254	1
141638	65439	1
141638	69429	1
141638	35708	1
141638	6180	1
141638	102183	1
141638	9766	1
141638	143663	1
141638	137752	1
141638	89071	1
141638	7596	1
141638	8081	1
141638	89834	1
141638	6581	1
141638	137333	1
141638	6164	1
141638	95453	1
141638	5755	1
141638	7062	1
141638	6131	1
141638	8897	1
141638	80754	1
3409	10216	1
3409	80933	1
3409	9187	1
3409	5502	1
3409	114117	1
3409	51351	1
3409	122212	1
3409	103969	1
3409	75725	1
3409	94351	1
3409	99570	1
3409	114647	1
3409	9446	17
3409	96788	31
3409	113325	1
3409	46508	7
3409	88016	11
3409	12104	51
3409	89205	4
3409	44444	1
3409	5795	1
3409	5261	1
3409	61228	1
3409	119697	1
3409	119638	1
3409	81739	1
3409	108640	1
3409	106883	1
3409	98440	1
3409	101806	1
3409	18288	20
3409	104640	15
3409	100572	13
3409	120474	14
3409	14928	3
3409	69384	2
3409	8070	2
3409	95289	1
3409	45453	29
3409	35686	2
3409	5413	1
3409	6418	1
3409	21641	2
3409	65439	1
3409	76993	1
3409	68414	1
3409	40703	1
3409	24928	1
3409	69745	1
3409	7009	1
3409	97808	1
3409	90980	1
3409	79588	1
3409	110052	1
3409	116094	1
3409	30306	1
3409	5062	1
3409	112458	1
3409	119386	1
3409	95466	4
3409	62351	1
3409	14234	3
3409	9617	1
3409	103054	2
3409	83247	1
3409	59356	1
3409	13347	24
3409	9818	10
3409	10731	2
3409	73858	18
3409	54774	2
3409	78198	1
3409	61153	6
3409	93424	1
3409	117361	1
3409	84949	1
3409	80524	2
3409	85384	1
3409	111535	2
3409	113146	1
3409	7507	2
3409	109276	2
3409	29483	1
3409	27439	7
3409	119679	1
3409	8062	3
3409	94305	1
3409	37909	1
3409	5579	1
3409	48320	1
3409	96753	6
3409	14020	1
3409	69534	1
3409	40668	1
3409	31688	1
3409	52055	1
3409	92691	1
3409	87805	1
3409	109818	1
3409	67123	4
3409	76815	28
3409	122863	16
3409	21754	1
3409	14912	1
3409	87065	4
3409	113618	5
3409	5051	4
3409	121602	1
3409	81625	1
3409	93557	1
3409	85636	1
3409	20752	2
3409	98210	1
3409	108103	2
3409	67638	2
3409	37881	1
3409	122209	14
3409	47088	1
3409	17393	13
3409	88009	6
3409	121502	1
3409	77400	1
3409	48012	1
3409	46813	1
3409	117154	1
3409	117369	1
3409	25406	1
3409	16567	1
3409	117968	1
3409	7561	1
3409	122109	1
3409	122938	1
3409	7755	1
3409	115504	1
3409	14380	1
3409	126163	1
3409	119479	1
3409	73107	1
3409	70500	1
3409	57511	1
3409	5368	1
3409	45221	1
3409	5704	1
3409	103499	1
3409	84983	2
3409	13504	1
3409	6241	1
3409	109272	1
3409	59029	1
3409	5195	1
3409	52805	1
3409	103864	2
3409	22819	1
3409	107717	1
3409	38870	1
3409	101076	1
3409	5359	1
3409	122214	1
3409	73859	1
3409	120627	1
3409	107069	1
3409	88017	1
3409	121738	1
3409	9507	2
3409	80381	1
3409	21638	1
3409	29878	2
3409	117819	1
3409	118908	1
3409	122480	2
3409	61479	1
3409	9512	2
3409	117151	6
3409	61644	1
3409	5184	1
3409	5526	1
3409	30346	1
